235;30000;AHZB23D;2024-04-02 01:11:05;1111111;1;
426;7000;MJM93MG;2024-04-02 02:38:37;0000000;2;
174;7000;3JEYZEN;2024-04-02 03:44:21;0000000;2;
289;7000;5JWZ29K;2024-04-02 05:32:35;0000000;2;
440;5000;D8DH5OE;2024-04-02 07:03:37;0000000;3;
182;3500;GFC55HI;2024-04-02 10:05:20;0000000;4;
395;5000;G1GX0VP;2024-04-02 10:58:54;0000000;3;
438;5000;ZJ1Z5AW;2024-04-02 11:39:35;0000000;3;
220;12000;RHGWCPB;2024-04-02 12:46:49;3333333;1;
454;5000;RKC2QL2;2024-04-02 13:15:26;0000000;3;
425;5000;8K3WLLM;2024-04-02 13:47:19;0000000;3;
314;26000;0Y55RRY;2024-04-02 16:16:53;3333333;1;
236;31000;QPNZD49;2024-04-02 16:57:34;1111111;1;
427;7000;ENDHOCP;2024-04-02 18:03:16;0000000;2;
452;7000;ZSQJ9BZ;2024-04-02 18:14:06;0000000;2;
194;42000;QABKMJC;2024-04-02 18:30:26;4444444;1;
449;5000;H38MPIB;2024-04-02 19:05:20;0000000;3;
223;7000;PINW4VL;2024-04-02 20:53:26;0000000;2;
181;45000;WIAQJ42;2024-04-02 21:14:01;1111111;1;
437;5000;1OJ81KO;2024-04-02 22:53:40;0000000;3;
268;41000;G9EKK6X;2024-04-03 03:30:49;3333333;1;
185;3500;B5RCIP5;2024-04-03 03:40:23;0000000;4;
439;7000;NRRNNKB;2024-04-03 04:04:51;0000000;2;
192;45000;IAXPRO3;2024-04-03 06:07:08;1111111;1;
282;9000;XXE9S11;2024-04-03 07:29:25;4444444;1;
188;47000;6OZ86RH;2024-04-03 07:47:56;4444444;1;
307;11000;D42JH6L;2024-04-03 08:02:31;1111111;1;
464;5000;QXT7GDN;2024-04-03 09:45:14;0000000;3;
276;33000;S38NJ78;2024-04-03 11:50:28;3333333;1;
256;17000;W2XP10K;2024-04-03 12:14:24;4444444;1;
241;5000;1MMKFQF;2024-04-03 19:39:39;0000000;3;
186;28000;C8QP5WX;2024-04-03 19:49:49;1111111;1;
279;23000;3F4YIM7;2024-04-03 20:28:21;3333333;1;
463;5000;8J1DETP;2024-04-03 21:05:08;0000000;3;
408;3500;YCPLZO1;2024-04-03 21:20:49;0000000;4;
203;31000;0BPT0ER;2024-04-03 21:54:28;1111111;1;
469;7000;VBRORAB;2024-04-03 22:50:57;0000000;2;
262;15000;9DVIWNZ;2024-04-04 04:33:31;2222222;1;
428;7000;0MZC5IF;2024-04-04 04:46:15;0000000;2;
218;12000;IA01HWN;2024-04-04 06:28:01;4444444;1;
246;15000;NXCP8M3;2024-04-04 07:18:34;4444444;1;
429;7000;3VHNAB8;2024-04-04 08:21:29;0000000;2;
216;30000;2K1FLM1;2024-04-04 11:21:10;2222222;1;
249;15000;0AC62WS;2024-04-04 11:49:45;1111111;1;
418;3500;V1THK3D;2024-04-04 11:56:04;0000000;4;
385;7000;STF9QE8;2024-04-04 14:31:10;0000000;2;
260;15000;8384GE6;2024-04-04 16:24:41;4444444;1;
412;3500;TBPZFMI;2024-04-04 18:11:08;0000000;4;
294;36000;IAY2N3V;2024-04-04 20:12:47;1111111;1;
380;5000;37PKXCI;2024-04-04 20:18:20;0000000;3;
239;18000;GHE34MF;2024-04-04 23:23:32;2222222;1;
222;34000;05J9SHW;2024-04-05 01:35:39;4444444;1;
448;7000;KGWWJRJ;2024-04-05 04:35:56;0000000;2;
173;33000;6GYQSK1;2024-04-05 05:02:52;1111111;1;
459;5000;SKSF3I1;2024-04-05 05:13:39;0000000;3;
221;9000;4IE89KV;2024-04-05 06:09:06;1111111;1;
278;36000;OC1Z0B8;2024-04-05 06:35:13;1111111;1;
423;7000;Y3KI1WB;2024-04-05 06:59:12;0000000;2;
275;25000;HNB6ZF8;2024-04-05 08:20:23;2222222;1;
283;24000;G3M2H6A;2024-04-05 08:49:46;1111111;1;
416;5000;KWZ7VEB;2024-04-05 09:04:59;0000000;3;
421;5000;VGL3GM2;2024-04-05 10:38:06;0000000;3;
436;5000;CWBEONZ;2024-04-05 10:45:52;0000000;3;
245;43000;NQ5DE3H;2024-04-05 12:14:38;3333333;1;
413;3500;VBIDID6;2024-04-05 15:11:54;0000000;4;
446;5000;R3M2YEH;2024-04-05 15:29:30;0000000;3;
267;7000;PH8OB65;2024-04-05 17:51:46;0000000;2;
411;7000;Z124KMG;2024-04-05 18:38:35;0000000;2;
269;6000;WO8ZZ6O;2024-04-05 22:57:14;4444444;1;
237;30000;1K6ASJB;2024-04-06 01:00:10;1111111;1;
210;3500;2Y05E6G;2024-04-06 02:45:47;0000000;4;
393;7000;HT66TZK;2024-04-06 05:27:36;0000000;2;
286;20000;AJCA7FE;2024-04-06 07:30:54;3333333;1;
400;7000;OATF0TR;2024-04-06 08:03:18;0000000;2;
430;7000;LX60VYW;2024-04-06 08:57:56;0000000;2;
404;7000;2T98L78;2024-04-06 09:21:18;0000000;2;
462;5000;FFQTMAL;2024-04-06 14:00:43;0000000;3;
312;49000;O40HFLH;2024-04-06 14:13:19;1111111;1;
371;7000;VNTL885;2024-04-06 16:43:58;0000000;2;
177;6000;DCNP1I1;2024-04-06 19:24:07;3333333;1;
445;5000;65HQNSN;2024-04-06 19:54:40;0000000;3;
387;7000;L8AAD3A;2024-04-06 22:06:01;0000000;2;
389;5000;29GHL99;2024-04-06 22:14:39;0000000;3;
409;5000;67V2A2H;2024-04-06 22:35:08;0000000;3;
402;3500;MC2017I;2024-04-07 02:21:05;0000000;4;
287;5000;S6PTIM7;2024-04-07 03:27:56;2222222;1;
202;31000;GC3HA2P;2024-04-07 04:35:11;3333333;1;
171;24000;AAYFALB;2024-04-07 08:29:54;4444444;1;
447;7000;OCBDKPA;2024-04-07 09:11:01;0000000;2;
213;5000;3AGCBE3;2024-04-07 11:54:17;0000000;3;
318;34000;YWX18IW;2024-04-07 13:04:05;4444444;1;
